"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35556","change Order status","chromium","Thu Nov 06 16:23:39 IST 2025","passed","Thu Nov 06 16:24:15 IST 2025","","Orders\AllOrders\ChangeOrderStatus.spec.js","",""
"","21820","Navigate to In production page","chromium","Thu Nov 06 16:25:32 IST 2025","passed","Thu Nov 06 16:25:54 IST 2025","","Orders\InProduction.spec.js","",""
"","40820","Navigate to Refunded page","chromium","Thu Nov 06 16:26:03 IST 2025","passed","Thu Nov 06 16:26:43 IST 2025","","Orders\Refunded.spec.js","",""
"","50617","Order a report with Existing customer","chromium","Thu Nov 06 16:27:50 IST 2025","passed","Thu Nov 06 16:28:41 IST 2025","","Reports\orderReportExistingCustomer.spec.js","",""
"","43103","Promo code activation","chromium","Thu Nov 06 16:26:24 IST 2025","passed","Thu Nov 06 16:27:07 IST 2025","","PromoCode\promocodeActivation.spec.js","",""
"","37429","Promocode creation for Account Credits","chromium","Thu Nov 06 16:26:52 IST 2025","passed","Thu Nov 06 16:27:29 IST 2025","","PromoCode\promocodeForAccountCredits.spec.js","",""
"","35290","Navigate to Quality Control page","chromium","Thu Nov 06 16:25:54 IST 2025","passed","Thu Nov 06 16:26:29 IST 2025","","Orders\QualityControl.spec.js","",""
"","31875","Navigate to OrderReceived page","chromium","Thu Nov 06 16:25:44 IST 2025","passed","Thu Nov 06 16:26:16 IST 2025","","Orders\OrdersReceived.spec.js","",""
"","38059","Assign Technician","chromium","Thu Nov 06 16:23:21 IST 2025","passed","Thu Nov 06 16:23:59 IST 2025","","Orders\AllOrders\AssignTechnician.spec.js","",""
"","41530","Order a report with Promocode","chromium","Thu Nov 06 16:28:41 IST 2025","passed","Thu Nov 06 16:29:22 IST 2025","","Reports\orderReportWithPromocode.spec.js","",""
"","38004","Refund order","chromium","Thu Nov 06 16:24:18 IST 2025","passed","Thu Nov 06 16:24:56 IST 2025","","Orders\AllOrders\RefundOrder.spec.js","",""
"","57609","Order a Multiple reports","chromium","Thu Nov 06 16:27:29 IST 2025","passed","Thu Nov 06 16:28:27 IST 2025","","Reports\orderMultipleReports.spec.js","",""
"","43061","Order a report with package Credits","chromium","Thu Nov 06 16:28:27 IST 2025","passed","Thu Nov 06 16:29:10 IST 2025","","Reports\orderReportWithPackageCredits.spec.js","",""
"","35257","Deactivate employee","chromium","Thu Nov 06 16:22:42 IST 2025","passed","Thu Nov 06 16:23:17 IST 2025","","Employees\DectivateEmp.spec.js","",""
"","36723","Activate customer","chromium","Thu Nov 06 16:20:18 IST 2025","passed","Thu Nov 06 16:20:55 IST 2025","","Customers\ActivateCustomer.spec.js","",""
"","54826","Update CCEmail","chromium","Thu Nov 06 16:21:31 IST 2025","failed","Thu Nov 06 16:22:26 IST 2025","","Customers\UpdateCCEmail.spec.js","",""
"","42524","Promo code deletion","chromium","Thu Nov 06 16:26:44 IST 2025","passed","Thu Nov 06 16:27:26 IST 2025","","PromoCode\promocodeDeletion.spec.js","",""
"","35545","Navigate to Pending-Need-Info page","chromium","Thu Nov 06 16:25:45 IST 2025","failed","Thu Nov 06 16:26:21 IST 2025","","Orders\PendingNeedInfo.spec.js","",""
"","37509","Deactivate customer","chromium","Thu Nov 06 16:20:54 IST 2025","passed","Thu Nov 06 16:21:31 IST 2025","","Customers\DeactivateCustomer.spec.js","",""
"","23827","Navigate to InQueue page","chromium","Thu Nov 06 16:25:39 IST 2025","passed","Thu Nov 06 16:26:03 IST 2025","","Orders\InQueue.spec.js","",""
"","28299","Add new customer","chromium","Thu Nov 06 16:21:28 IST 2025","passed","Thu Nov 06 16:21:56 IST 2025","","Customers\newCustomer.spec.js","",""
"","46543","Order a report with Invoice","chromium","Thu Nov 06 16:28:08 IST 2025","passed","Thu Nov 06 16:28:55 IST 2025","","Reports\orderReportWithInvoice.spec.js","",""
"","28261","Navigate to Prduction Snapshot Page","chromium","Thu Nov 06 16:21:58 IST 2025","passed","Thu Nov 06 16:22:27 IST 2025","","Dashboard\SalesStatistics.spec.js","",""
"","22153","Navigate to Prduction Snapshot Page","chromium","Thu Nov 06 16:22:24 IST 2025","passed","Thu Nov 06 16:22:46 IST 2025","","EmailTemplate\navigateToEmailTemplate.spec.js","",""
"","24521","Navigate to Assigned page","chromium","Thu Nov 06 16:25:14 IST 2025","passed","Thu Nov 06 16:25:39 IST 2025","","Orders\Assigned.spec.js","",""
"","37345","Update employee details","chromium","Thu Nov 06 16:23:03 IST 2025","passed","Thu Nov 06 16:23:40 IST 2025","","Employees\updateEmployee.spec.js","",""
"","43811","Promocode creation for Rush Delivery Type","chromium","Thu Nov 06 16:27:13 IST 2025","passed","Thu Nov 06 16:27:57 IST 2025","","PromoCode\promocodeForRushType.spec.js","",""
"","34518","Navigate to Customer Order History Page","chromium","Thu Nov 06 16:20:51 IST 2025","passed","Thu Nov 06 16:21:26 IST 2025","","Customers\CustomerOrderHistory.spec.js","",""
"","21764","Login Test - Admin Backoffice","chromium","Thu Nov 06 16:23:17 IST 2025","passed","Thu Nov 06 16:23:39 IST 2025","","Login\login.spec.js","",""
"","36691","Delete employee","chromium","Thu Nov 06 16:22:46 IST 2025","passed","Thu Nov 06 16:23:23 IST 2025","","Employees\deleteEmployee.spec.js","",""
"","35556","Navigate to products page","chromium","Thu Nov 06 16:26:16 IST 2025","passed","Thu Nov 06 16:26:52 IST 2025","","Products\NavigateToProductsPage.spec.js","",""
"","38392","Deliver Report","chromium","Thu Nov 06 16:23:40 IST 2025","passed","Thu Nov 06 16:24:18 IST 2025","","Orders\AllOrders\DeliverReport.spec.js","",""
"","35993","Export credits - Admin Backoffice","chromium","Thu Nov 06 16:20:15 IST 2025","passed","Thu Nov 06 16:20:51 IST 2025","","Credits\UpdateCredits.spec.js","",""
"","32036","Export Orders","chromium","Thu Nov 06 16:24:05 IST 2025","passed","Thu Nov 06 16:24:37 IST 2025","","Orders\AllOrders\ExportOrders.spec.js","",""
"","37096","Order Credits with Credit Card","chromium","Thu Nov 06 16:19:42 IST 2025","passed","Thu Nov 06 16:20:19 IST 2025","","Credits\orderCreditsWithCreditcard.spec.js","",""
"","37281","Update Order","chromium","Thu Nov 06 16:24:54 IST 2025","passed","Thu Nov 06 16:25:32 IST 2025","","Orders\AllOrders\UpdateOrder.spec.js","",""
"","25240","Creating an Employee","chromium","Thu Nov 06 16:22:31 IST 2025","passed","Thu Nov 06 16:22:56 IST 2025","","Employees\createEmployee.spec.js","",""
"","27901","Navigate to Prduction Snapshot Page","chromium","Thu Nov 06 16:21:56 IST 2025","passed","Thu Nov 06 16:22:24 IST 2025","","Dashboard\ProductionSnapshot.spec.js","",""
"","37271","Add CCEmail","chromium","Thu Nov 06 16:20:46 IST 2025","passed","Thu Nov 06 16:21:23 IST 2025","","Customers\AddCCEmail.spec.js","",""
"","37508","Resend Receipt","chromium","Thu Nov 06 16:24:37 IST 2025","passed","Thu Nov 06 16:25:14 IST 2025","","Orders\AllOrders\ResendReceipt.spec.js","",""
"","44037","Promo code deactivation","chromium","Thu Nov 06 16:26:29 IST 2025","passed","Thu Nov 06 16:27:13 IST 2025","","PromoCode\promocodeDeactivation.spec.js","",""
"","41918","View Promocode History","chromium","Thu Nov 06 16:27:26 IST 2025","passed","Thu Nov 06 16:28:08 IST 2025","","PromoCode\viewPromocodeHistory.spec.js","",""
"","41401","change order","chromium","Thu Nov 06 16:23:23 IST 2025","passed","Thu Nov 06 16:24:05 IST 2025","","Orders\AllOrders\ChangeOrder.spec.js","",""
"","40786","Promocode creation for Orders","chromium","Thu Nov 06 16:27:09 IST 2025","passed","Thu Nov 06 16:27:50 IST 2025","","PromoCode\promocodeForOrder.spec.js","",""
"","31822","Export credits - Admin Backoffice","chromium","Thu Nov 06 16:20:14 IST 2025","passed","Thu Nov 06 16:20:46 IST 2025","","Credits\RefundCredits.spec.js","",""
"","68987","order flow","chromium","Thu Nov 06 16:24:15 IST 2025","passed","Thu Nov 06 16:25:24 IST 2025","","Orders\AllOrders\OrderFlow.spec.js","",""
"","47602","upload files","chromium","Thu Nov 06 16:24:56 IST 2025","passed","Thu Nov 06 16:25:44 IST 2025","","Orders\AllOrders\UploadFiles.spec.js","",""
"","36090","Export credits - Admin Backoffice","chromium","Thu Nov 06 16:19:41 IST 2025","passed","Thu Nov 06 16:20:18 IST 2025","","Credits\orderCreditsWithPromocode.spec.js","",""
"","55847","Download Files","chromium","Thu Nov 06 16:23:59 IST 2025","passed","Thu Nov 06 16:24:54 IST 2025","","Orders\AllOrders\DownloadFiles.spec.js","",""
"","34395","Add Card","chromium","Thu Nov 06 16:20:20 IST 2025","passed","Thu Nov 06 16:20:54 IST 2025","","Customers\AddCard.spec.js","",""
"","32835","Delete CCEmail","chromium","Thu Nov 06 16:20:55 IST 2025","passed","Thu Nov 06 16:21:28 IST 2025","","Customers\DeleteCCEmail.spec.js","",""
"","28513","Export customer","chromium","Thu Nov 06 16:21:26 IST 2025","passed","Thu Nov 06 16:21:54 IST 2025","","Customers\ExportCustomer.spec.js","",""
"","23917","Export Employee","chromium","Thu Nov 06 16:22:57 IST 2025","passed","Thu Nov 06 16:23:20 IST 2025","","Employees\ExportEmp.spec.js","",""
"","33048","Order credits with Invoice","chromium","Thu Nov 06 16:19:41 IST 2025","passed","Thu Nov 06 16:20:15 IST 2025","","Credits\orderCreditsWithInvoice.spec.js","",""
"","36027","Activate employee","chromium","Thu Nov 06 16:22:27 IST 2025","passed","Thu Nov 06 16:23:03 IST 2025","","Employees\ActivateEmp.spec.js","",""
"","45312","Order a report with New customer","chromium","Thu Nov 06 16:27:57 IST 2025","failed","Thu Nov 06 16:28:42 IST 2025","","Reports\orderReportNewCustomer.spec.js","",""
"","21573","Navigate to Delivered page","chromium","Thu Nov 06 16:25:24 IST 2025","passed","Thu Nov 06 16:25:45 IST 2025","","Orders\Delivered.spec.js","",""
"","32019","Export credits - Admin Backoffice","chromium","Thu Nov 06 16:19:41 IST 2025","passed","Thu Nov 06 16:20:13 IST 2025","","Credits\ExportCredits.spec.js","",""
"","34726","Delete customer","chromium","Thu Nov 06 16:21:24 IST 2025","passed","Thu Nov 06 16:21:58 IST 2025","","Customers\DeleteCustomer.spec.js","",""
"","45521","update customer","chromium","Thu Nov 06 16:21:54 IST 2025","failed","Thu Nov 06 16:22:40 IST 2025","","Customers\updateCustomer.spec.js","",""
